"source.type","source.id","source.description","variable","chemical","units","gender","min.age","max.age","form","mean","cv","values"
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000067-64-1","[-]","B",0,99,"empirical",,1,"0.2, 0.3, 0.3"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000067-64-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000074-98-6","[-]","B",0,99,"empirical",,1,"0.13, 0.13"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000074-98-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-28-5","[-]","B",0,99,"empirical",,1,"0.13"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-28-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-37-6","[-]","B",0,99,"empirical",,1,"0.04"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-37-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-83-2","[-]","B",0,99,"empirical",,1,"0.05"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-83-2","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000079-20-9","[-]","B",0,99,"empirical",,1,"0.3"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000079-20-9","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000079-29-8","[-]","B",0,99,"empirical",,1,"0.07"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000079-29-8","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000084-74-2","[-]","B",0,99,"empirical",,1,"0.05"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000084-74-2","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000106-97-8","[-]","B",0,99,"empirical",,1,"0.12, 0.2"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000106-97-8","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000107-83-5","[-]","B",0,99,"empirical",,1,"0.2"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000107-83-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000108-88-3","[-]","B",0,99,"empirical",,1,"0.04"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000108-88-3","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000109-66-0","[-]","B",0,99,"empirical",,1,"0.3"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000109-66-0","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000110-54-3","[-]","B",0,99,"empirical",,1,"0.35, 0.1, 0.25, 0.01"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000110-54-3","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000110-82-7","[-]","B",0,99,"empirical",,1,"0.12, 0.2"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000110-82-7","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000115-10-6","[-]","B",0,99,"empirical",,1,"0.45, 0.3, 0.13"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000115-10-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0001336-21-6","[-]","B",0,99,"empirical",,1,"1e-04"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0001336-21-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0007732-18-5","[-]","B",0,99,"empirical",,1,"0.56"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0007732-18-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000064-17-5","[-]","B",0,99,"empirical",,1,"0.2"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000064-17-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000067-64-1","[-]","B",0,99,"empirical",,1,"0.1, 0.38"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000067-64-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000071-41-0","[-]","B",0,99,"empirical",,1,"0.1"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000071-41-0","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000074-98-6","[-]","B",0,99,"empirical",,1,"0.16"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000074-98-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000078-83-1","[-]","B",0,99,"empirical",,1,"0.25"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000078-83-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000100-41-4","[-]","B",0,99,"empirical",,1,"0.01416"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000100-41-4","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000106-97-8","[-]","B",0,99,"empirical",,1,"0.12"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000106-97-8","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000108-10-1","[-]","B",0,99,"empirical",,1,"0.05"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000108-10-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000108-65-6","[-]","B",0,99,"empirical",,1,"0.09"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000108-65-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0000108-88-3","[-]","B",0,99,"empirical",,1,"0.15, 0.08"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0000108-88-3","[-]","B",0,99,"point",1,0,""
"Product","P.AC.030.029","arts and crafts finish spray","f.chemical","0001330-20-7","[-]","B",0,99,"empirical",,1,"0.07"
"Product","P.AC.030.029","arts and crafts finish spray","chem.prev","0001330-20-7","[-]","B",0,99,"point",1,0,""
"Product","P.AC.050.029","body paint spray","f.chemical","0000064-17-5","[-]","B",0,99,"empirical",,1,"0.13447"
"Product","P.AC.050.029","body paint spray","chem.prev","0000064-17-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.050.029","body paint spray","f.chemical","0000067-64-1","[-]","B",0,99,"empirical",,1,"0.327"
"Product","P.AC.050.029","body paint spray","chem.prev","0000067-64-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.050.029","body paint spray","f.chemical","0000074-98-6","[-]","B",0,99,"empirical",,1,"0.09"
"Product","P.AC.050.029","body paint spray","chem.prev","0000074-98-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.050.029","body paint spray","f.chemical","0000075-28-5","[-]","B",0,99,"empirical",,1,"0.097"
"Product","P.AC.050.029","body paint spray","chem.prev","0000075-28-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.050.029","body paint spray","f.chemical","0000106-97-8","[-]","B",0,99,"empirical",,1,"0.219"
"Product","P.AC.050.029","body paint spray","chem.prev","0000106-97-8","[-]","B",0,99,"point",1,0,""
